iter	Logloss
0	0.6416188877
1	0.6053005301
2	0.5770509418
3	0.5539360834
4	0.5387635568
5	0.5263725868
6	0.5145713773
7	0.5064124583
8	0.4999761701
9	0.4948634197
10	0.4901368164
11	0.4865154049
12	0.4833370273
13	0.480506532
14	0.4784684345
15	0.4769988472
16	0.4750088543
17	0.4737357907
18	0.4719552994
19	0.4711243552
20	0.4700874846
21	0.4691874197
22	0.4683130181
23	0.467894082
24	0.4673032837
25	0.4668231307
26	0.4661630084
27	0.465645808
28	0.4652052758
29	0.4648171623
30	0.4642197918
31	0.4636621945
32	0.4634414793
33	0.4631820888
34	0.4627588232
35	0.4624624852
36	0.4622952471
37	0.4619428201
38	0.4617047316
39	0.4614517669
40	0.4613182308
41	0.4610621923
42	0.4608539786
43	0.4607186936
44	0.4604885985
45	0.4603006153
46	0.4601051345
47	0.4599028743
48	0.4597790952
49	0.4592519777
50	0.4591000852
51	0.4588464176
52	0.4585591188
53	0.4583988976
54	0.4582934756
55	0.4581617302
56	0.4579767138
57	0.4578621662
58	0.4577681224
59	0.4576103529
60	0.4574793979
61	0.4573671974
62	0.457248933
63	0.4571022655
64	0.4567855818
65	0.4566322508
66	0.4565416628
67	0.456439593
68	0.4562540274
69	0.4561958935
70	0.4560371499
71	0.4559190024
72	0.4558134072
73	0.455726538
74	0.4555807995
75	0.4554982608
76	0.4554075898
77	0.4553345406
78	0.4552729299
79	0.4551727938
80	0.4549388169
81	0.4547918478
82	0.4546247461
83	0.4545171377
84	0.4543597829
85	0.4541643061
86	0.4540943563
87	0.4539691198
88	0.4539040904
89	0.4538314835
90	0.4537482335
91	0.453635318
92	0.4535478875
93	0.4534614062
94	0.4533206241
95	0.4531881974
96	0.4531248676
97	0.4528415387
98	0.4526956254
99	0.4526264871
100	0.4525473809
101	0.4524260967
102	0.4523324021
103	0.4522527582
104	0.4521721947
105	0.452097274
106	0.4519937871
107	0.4518730784
108	0.4518179914
109	0.45175376
110	0.4516036554
111	0.4515045469
112	0.4514518135
113	0.4513120185
114	0.45120064
115	0.4510898836
116	0.4510181002
117	0.4509243898
118	0.4508130103
119	0.4507176224
120	0.4506700902
121	0.450629664
122	0.4505069168
123	0.4503936676
124	0.4503126877
125	0.4502302594
126	0.4501746088
127	0.4500841716
128	0.449976784
129	0.4499193987
130	0.4498575292
131	0.4497119461
132	0.4496235495
133	0.4495146201
134	0.4494458991
135	0.4493657358
136	0.4491996918
137	0.4490907098
138	0.4489868161
139	0.4488685164
140	0.4487632129
141	0.4486820301
142	0.4486208519
143	0.4485441062
144	0.448470202
145	0.4484217609
146	0.4483002148
147	0.4482301393
148	0.4481168055
149	0.4480107212
150	0.4478391961
151	0.4477740819
152	0.447681342
153	0.4476008938
154	0.447546617
155	0.447426169
156	0.4473132603
157	0.4472466514
158	0.4471826722
159	0.4471150374
160	0.4470340086
161	0.4469662271
162	0.4468175953
163	0.4466910206
164	0.446621895
165	0.4465611946
166	0.4464280774
167	0.4462937959
168	0.4462112096
169	0.4460734366
170	0.446017005
171	0.4459016193
172	0.4458549014
173	0.4457915521
174	0.445718089
175	0.445669142
176	0.4455877773
177	0.4454844129
178	0.4454234637
179	0.4453610851
180	0.4453014996
181	0.445219567
182	0.4451287197
183	0.4450425748
184	0.4449782473
185	0.4449011916
186	0.4447835172
187	0.4446690007
188	0.4445799369
189	0.4445203421
190	0.4444383481
191	0.4443527455
192	0.4442442539
193	0.4441775349
194	0.444120879
195	0.444047992
196	0.4439687309
197	0.4438741799
198	0.4438148797
199	0.4437518312
200	0.4436217763
201	0.4435264212
202	0.4434717168
203	0.4433952125
204	0.4433008587
205	0.4432123407
206	0.4431368714
207	0.4430708891
208	0.4429652323
209	0.4428911865
210	0.4428081461
211	0.442744291
212	0.4426852526
213	0.4426155075
214	0.4425393268
215	0.4424603278
216	0.442386073
217	0.4423251685
218	0.4422327487
219	0.4421426323
220	0.4420920424
221	0.4420102779
222	0.4419550876
223	0.441912586
224	0.4418647749
225	0.4417573885
226	0.4416838091
227	0.4416323267
228	0.4415669533
229	0.441500778
230	0.441430272
231	0.441390383
232	0.4413222818
233	0.4412392377
234	0.4411227355
235	0.4409335718
236	0.4408590163
237	0.4407998215
238	0.4407452451
239	0.4406844424
240	0.4406233353
241	0.4405481631
242	0.4404962351
243	0.4404387515
244	0.4403750868
245	0.4403197828
246	0.4402442456
247	0.4401699983
248	0.440112029
249	0.4400388032
250	0.4399070165
251	0.4398610791
252	0.4398112873
253	0.4397502153
254	0.4396769199
255	0.4396086221
256	0.4395000234
257	0.4394311217
258	0.4393815245
259	0.439277658
260	0.4391843514
261	0.4391318525
262	0.4390556475
263	0.4389919963
264	0.4389364475
265	0.4388796413
266	0.4388142811
267	0.4387489132
268	0.4387037399
269	0.4386428312
270	0.4386054605
271	0.4385512801
272	0.4384798799
273	0.4384046821
274	0.4383049401
275	0.4382180311
276	0.4381526335
277	0.4381014012
278	0.4380445207
279	0.4379977135
280	0.4379476078
281	0.4378912018
282	0.4378391628
283	0.4377968105
284	0.4377346414
285	0.4376892728
286	0.4376210833
287	0.4375730552
288	0.4375225215
289	0.4374760548
290	0.4374239761
291	0.4373841455
292	0.4373214602
293	0.4372538135
294	0.4372068931
295	0.437152574
296	0.4370843591
297	0.4370387636
298	0.4369742395
