iter	Passed	Remaining
0	84	83930
1	112	56124
2	139	46313
3	167	41808
4	194	38744
5	221	36680
6	247	35086
7	274	34018
8	302	33259
9	333	32994
10	360	32390
11	385	31766
12	415	31554
13	442	31198
14	477	31361
15	504	30997
16	533	30864
17	563	30717
18	588	30360
19	614	30103
20	644	30027
21	670	29793
22	699	29698
23	726	29525
24	751	29309
25	779	29195
26	805	29025
27	829	28782
28	856	28666
29	881	28505
30	907	28364
31	935	28291
32	960	28138
33	986	28041
34	1014	27957
35	1042	27923
36	1068	27815
37	1096	27756
38	1121	27626
39	1150	27616
40	1177	27553
41	1203	27451
42	1230	27382
43	1256	27292
44	1283	27233
45	1309	27167
46	1335	27079
47	1368	27146
48	1397	27127
49	1425	27083
50	1452	27033
51	1481	27017
52	1508	26960
53	1536	26916
54	1562	26845
55	1588	26777
56	1615	26718
57	1639	26635
58	1666	26578
59	1693	26532
60	1719	26462
61	1747	26434
62	1773	26384
63	1799	26323
64	1825	26256
65	1850	26190
66	1876	26125
67	1902	26081
68	1931	26055
69	1956	25995
70	1984	25961
71	2009	25903
72	2034	25840
73	2061	25796
74	2087	25748
75	2113	25700
76	2142	25680
77	2175	25714
78	2204	25699
79	2237	25736
80	2276	25822
81	2305	25812
82	2330	25746
83	2356	25697
84	2386	25695
85	2415	25669
86	2443	25644
87	2470	25604
88	2496	25556
89	2523	25513
90	2550	25481
91	2577	25438
92	2606	25415
93	2634	25392
94	2661	25355
95	2690	25333
96	2719	25315
97	2744	25259
98	2769	25202
99	2795	25161
100	2821	25111
101	2846	25061
102	2873	25022
103	2899	24980
104	2925	24935
105	2953	24913
106	2982	24892
107	3007	24843
108	3036	24821
109	3065	24802
110	3090	24749
111	3116	24708
112	3139	24645
113	3166	24606
114	3193	24578
115	3220	24540
116	3247	24510
117	3275	24485
118	3302	24450
119	3328	24408
120	3355	24377
121	3381	24336
122	3408	24301
123	3435	24267
124	3463	24245
125	3489	24207
126	3515	24164
127	3542	24133
128	3568	24094
129	3593	24047
130	3619	24009
131	3643	23961
132	3673	23944
133	3700	23914
134	3729	23894
135	3753	23846
136	3781	23821
137	3807	23780
138	3835	23755
139	3862	23723
140	3888	23688
141	3913	23645
142	3938	23603
143	3967	23585
144	3994	23554
145	4020	23515
146	4046	23482
147	4084	23515
148	4109	23471
149	4137	23446
150	4163	23410
151	4191	23384
152	4221	23372
153	4250	23347
154	4276	23314
155	4306	23298
156	4334	23271
157	4360	23238
158	4385	23194
159	4411	23161
160	4436	23119
161	4463	23090
162	4490	23058
163	4518	23033
164	4543	22993
165	4570	22964
166	4599	22940
167	4626	22912
168	4654	22884
169	4679	22846
170	4706	22817
171	4734	22789
172	4761	22761
173	4792	22749
174	4817	22710
175	4841	22664
176	4866	22628
177	4893	22597
178	4918	22560
179	4943	22521
180	4969	22488
181	4997	22459
182	5021	22419
183	5052	22404
184	5079	22378
185	5106	22346
186	5132	22316
187	5160	22288
188	5186	22256
189	5213	22226
190	5242	22205
191	5271	22186
192	5301	22169
193	5328	22137
194	5356	22112
195	5383	22083
196	5411	22057
197	5437	22025
198	5465	21998
199	5491	21964
200	5517	21933
201	5543	21901
202	5570	21869
203	5596	21837
204	5624	21812
205	5651	21783
206	5677	21749
207	5703	21715
208	5734	21702
209	5766	21692
210	5793	21662
211	5819	21629
212	5845	21596
213	5871	21566
214	5896	21530
215	5923	21499
216	5950	21472
217	5977	21440
218	6002	21407
219	6030	21379
220	6057	21350
221	6084	21322
222	6111	21294
223	6137	21262
224	6164	21234
225	6191	21203
226	6219	21180
227	6247	21154
228	6275	21128
229	6304	21105
230	6329	21070
231	6356	21043
232	6385	21018
233	6411	20987
234	6442	20972
235	6468	20941
236	6494	20907
237	6523	20887
238	6551	20860
239	6578	20832
240	6607	20809
241	6635	20783
242	6661	20750
243	6687	20720
244	6714	20691
245	6743	20670
246	6781	20675
247	6810	20650
248	6838	20626
249	6867	20602
250	6898	20585
251	6927	20561
252	6955	20536
253	6981	20505
254	7007	20472
255	7037	20453
256	7063	20419
257	7089	20389
